time	V(vdrain)	V(vdrain_totem)	V(vgate)	V(vgate_totem)	Id(Mosfet)	Id(Mosfet_totem)
1.250483799745547e-07	1.025404e+01	6.541714e-04	4.255741e+00	1.134400e+01	8.001992e-03	5.454248e-02
1.296222802059530e-07	8.993055e+00	6.247838e-04	4.258336e+00	1.136229e+01	1.370743e-02	5.454262e-02
1.363304404338504e-07	7.426381e+00	5.932436e-04	4.254783e+00	1.138307e+01	2.078729e-02	5.454276e-02
1.430868532435422e-07	6.224418e+00	5.709670e-04	4.248829e+00	1.139879e+01	2.620673e-02	5.454286e-02
1.517839127085809e-07	5.157970e+00	5.520257e-04	4.240327e+00	1.141337e+01	3.096528e-02	5.454294e-02
1.609544802736597e-07	4.426290e+00	5.393153e-04	4.233596e+00	1.142421e+01	3.429195e-02	5.454300e-02
1.729654792812169e-07	3.793361e+00	5.292926e-04	4.229426e+00	1.143390e+01	3.725720e-02	5.454305e-02
1.851150476364337e-07	3.308294e+00	5.234130e-04	4.228615e+00	1.144046e+01	3.950371e-02	5.454308e-02
2.016627322691059e-07	2.741501e+00	5.190476e-04	4.229614e+00	1.144631e+01	4.208406e-02	5.454310e-02
2.187389404465906e-07	2.193196e+00	5.166046e-04	4.231490e+00	1.145034e+01	4.457638e-02	5.454310e-02
2.382701904465906e-07	1.583562e+00	5.151364e-04	4.234217e+00	1.145347e+01	4.734745e-02	5.454311e-02
2.578014404465905e-07	9.805474e-01	5.143252e-04	4.237511e+00	1.145575e+01	5.008842e-02	5.454312e-02
2.773326904465905e-07	3.809274e-01	5.138391e-04	4.241586e+00	1.145756e+01	5.281552e-02	5.454312e-02
2.855673104547024e-07	1.430167e-01	5.136763e-04	4.251237e+00	1.145822e+01	5.389709e-02	5.454312e-02
2.896024508782317e-07	5.393462e-02	5.136626e-04	4.270856e+00	1.145852e+01	5.430013e-02	5.454312e-02
2.910226271715915e-07	3.757347e-02	5.136036e-04	4.285868e+00	1.145863e+01	5.436876e-02	5.454312e-02
2.922786620125135e-07	3.149213e-02	5.135972e-04	4.303652e+00	1.145872e+01	5.439128e-02	5.454312e-02
2.933878447636782e-07	2.797932e-02	5.135881e-04	4.320321e+00	1.145879e+01	5.441139e-02	5.454312e-02
2.946662522777333e-07	2.489230e-02	5.135570e-04	4.340002e+00	1.145889e+01	5.443104e-02	5.454312e-02
2.960640053575578e-07	2.218864e-02	5.135504e-04	4.361822e+00	1.145898e+01	5.444370e-02	5.454312e-02
2.975932585659820e-07	1.981403e-02	5.135216e-04	4.385935e+00	1.145909e+01	5.445449e-02	5.454312e-02
2.994060337282031e-07	1.756724e-02	5.135123e-04	4.414719e+00	1.145921e+01	5.446446e-02	5.454312e-02
3.015727076121671e-07	1.545576e-02	5.134786e-04	4.449279e+00	1.145936e+01	5.447347e-02	5.454312e-02
3.043101374161311e-07	1.341655e-02	5.134594e-04	4.493037e+00	1.145954e+01	5.448131e-02	5.454312e-02
3.079871039743154e-07	1.139659e-02	5.134154e-04	4.551774e+00	1.145978e+01	5.448716e-02	5.454312e-02
3.128936615372354e-07	9.459754e-03	5.133738e-04	4.629859e+00	1.146009e+01	5.449174e-02	5.454312e-02
